code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
ART 100,Introduction to the Visual Arts (GT-AH1)  ,3 (3-0-0),Course Description: Exploration of the development of visual arts.,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,Special Course Fee:  No.,"Additional Information:  Arts & Humanities 3B, Arts & Expression (GT-AH1).
",Registration Information: Sections may be offered: Online.
ART 105,Issues and Practices in Art  Credit,1 (1-0-0),"Course Description: Current issues, practices, and resources in the visual arts; integration of unified vocabulary in various art disciplines.",Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 440,Pottery IV  ,4 (0-8-0),Course Description: Advanced individual research in pottery form and expression; supportive technology; expression in contemporary American pottery.,Prerequisite:  ART 341.Term Offered: Fall.,,,Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 441,Pottery V  ,4 (0-8-0),Course Description: Advanced individual research in pottery form and expression of personal subject matter; supportive technology.,Prerequisite:  ART 440.Term Offered: Spring.,,,Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 445,Metalsmithing and Jewelry IV  ,4 (0-8-0),"Course Description: Chasing and repousse techniques in two- and three-dimension; inlay, engraving, and etching techniques.",Prerequisite:  ART 345 and ART 346.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 446,Metalsmithing and Jewelry V  ,4 (0-8-0),"Course Description: Advanced techniques: granulation, electroforming, photoetching, makume, niello, ferrous metals techniques.",Prerequisite:  ART 345 and ART 346.Term Offered: Spring.,,,Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 450,Fibers IV  ,4 (0-8-0),Course Description: Advanced studio problems in expressive use of fibers and fabric.,Prerequisite:  ART 350 and ART 351.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in the course.
ART 451,Fibers V  ,4 (0-8-0),Course Description: Advanced studio problems in expressive use of fibers and fabric.,Prerequisite:  ART 351 or ART 450.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 455,Advanced Typography and Design Systems  ,4 (0-8-0),"Course Description: Two- and three-dimensional solutions for advertising, corporate identity, packaging, and publication design.",Prerequisite:  ART 355.,,,Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.Term Offered: Fall.
ART 456,Advanced Illustration  ,4 (0-8-0),Course Description: Projects in editorial and reportorial illustration emphasizing techniques applied to solving problems in advanced composition.,Prerequisite:  ART 356.,,,Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.Term Offered: Spring.
ART 457,Advanced Interactive Media  ,4 (0-8-0),"Course Description: Technical, conceptual, and historic aspects of creating interactive electronic media.",Prerequisite:  (ART 255 or ART 256) and (ART 357).,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 458,Advanced Experimental Video  ,4 (0-8-0),Course Description: Advanced experimental video and visual effects.,Prerequisite:  (ART 255 or ART 256) and (ART 358).Term Offered: Fall.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 460,Painting IV--Portfolio Projects  ,4 (0-8-0),"Course Description: Exploration of the fundamental conceptual and logistical challenges involved in developing a proficient, personal art practice in the discipline of painting.",Prerequisite:  ART 361.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 461,Painting V--Capstone Portfolio Projects  ,4 (0-8-0),Course Description: Continuation of personal portfolio development with culminating capstone expectations added.,Prerequisite:  ART 460.,,"Terms Offered: Fall, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 465,Printmaking IV-Studio Workshop  ,4 (0-8-0),"Course Description: Advanced printmaking workshop; intaglio, relief, planographic, and stencil; continued emphasis on individual creative growth.",Prerequisite:  ART 366.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 466,Printmaking V-Studio Workshop  ,4 (0-8-0),Course Description: Advanced printmaking concepts in studio and research problems.,Prerequisite:  ART 465.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 470,Sculpture IV  ,4 (0-8-0),,Prerequisite:  ART 370 and ART 371.,,,Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 471,Sculpture V  ,4 (0-8-0),Course Description: Advanced expression using sculptural techniques.,Prerequisite:  ART 470.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 482,A  Study Abroad,Art History in Italy  Credit,"Course Description: Special topics in Italian art history; most classes will be taught on-site at museums, churches, and galleries in Italy. Focus on the art and architecture of the famed Michelangelo Buonarroti.",Prerequisite:  ART 212.Term Offered: Spring (every third year).,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 487,Internship  ,Var[1-4] (0-0-0),Course Description: Supervised work experience in an approved location.,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Junior or senior standing; written consent of instructor.
ART 492,A  Seminar: Art History  ,3 (0-0-3),Course Description: Topical studies in Art History.,Prerequisite:  ART 212.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 492,B  Seminar: Art Education  ,3 (0-0-3),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Must have concurrent registration in ART 326.
ART 495,A  Independent Study: Painting  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 495,B  Independent Study: Printmaking  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 495,C  Independent Study: Sculpture  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 495,D  Independent Study: Fibers  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 495,E  Independent Study: Metalsmithing and Jewelry  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 495,F  Independent Study: Drawing  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 495,G  Independent Study: Graphic Design  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 495,H  Independent Study: Art History  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 495,I  Independent Study: Art Education  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 495,J  Independent Study: Pottery  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 495,K  Independent Study: Photo Image Making  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  ART 330.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 496,A  Group Study: Painting  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 496,B  Group Study: Printmaking  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 496,C  Group Study: Sculpture  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 496,D  Group Study: Fibers  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 496,E  Group Study: Metalsmithing and Jewelry  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 496,F  Group Study: Drawing  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 496,G  Group Study: Graphic Design  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 496,H  Group Study: Art History  ,3 (3-0-0),Course Description: Topical studies in Art History.,Prerequisite:  ART 212.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Maximum of 9 credits allowed in course.
ART 496,I  Group Study: Art Education  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 496,J  Group Study: Pottery  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 496,K  Group Study: Photo Image Making  ,Var[1-4] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Maximum of 8 credits allowed in course.
ART 510,A  Advanced Study in Art History: American Art  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,B  Advanced Study in Art History: East and South African Art  ,3 (3-0-0),Course Description: Arts of southern and East Africa from prehistory through contemporary visual expressions. Engages with current art historical theoretical approaches and practices to gain a nuanced understanding of the arts in these respective regions and their relationship to global art production.,Prerequisite:  None.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.Term Offered: Fall (even years).
ART 510,C  Advanced Study in Art History: Pre-Columbian Art  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,E  Advanced Study in Art History: United States Art Since 1945  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,F  Advanced Study in Art History: Greek Art  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,G  Advanced Study in Art History: Medieval Art  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,H  Advanced Study in Art History: Renaissance Art  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,I  Advanced Study in Art History: Baroque and Rococo Art  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,J  Advanced Study in Art History: 19th-Century European Art  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,K  Advanced Study in Art History: 20th Century European Art  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,L  Advanced Study in Art History: West and Central Africa  ,3 (3-0-0),Course Description: Focuses on the arts of West and Central Africa from prehistory through contemporary visual expressions. Engages with current art historical theoretical approaches and practices in order to gain a nuanced understanding of the arts in these respective regions and their relationship to global art production.,Prerequisite:  None.Term Offered: Fall (odd years).,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 510,M  Advanced Study in Art History: Roman Art  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,N  Advanced Study in Art History: Graphic Design  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,O  Advanced Study in Art History: Women in Art  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,P  Advanced Study in Art History: Pacific Art  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,Q  Advanced Study in Art History: Contemporary Art and Art Critics  ,3 (3-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor.
ART 510,R  Advanced Study in Art History: Native North American Art  ,3 (3-0-0),Course Description: Graduate study in the history of Native North American art.,Prerequisite:  None.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Graduate standing.Term Offered: Fall.
ART 514,Contemporary American Art Critics and Artists  ,3 (0-0-3),Course Description: Issues in contemporary American art are explored through the work of critics and artists who visit through the Critic and Artist Residency Series.,Prerequisite:  ART 510E.Term Offered: Spring (even years).,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 515,Seminar-Contemporary Art Theory  ,3 (0-0-3),Course Description: Relationship between critical theory and the visual arts; how artists and critics apply theory in their work.,Prerequisite:  ART 510E.Term Offered: Fall.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 521,Art and Environment - Advanced Study  ,3 (0-6-0),"Course Description: Interdisciplinary studio/seminar course investigating art's relationship to the environment through readings, field trips, presentations and studio practice.",Prerequisite:  None.,,,Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,"Registration Information: Graduate standing in the Art and Art History Department. Required field trips. Credit allowed for only one of the following: ART 380A1, ART 421, ART 521 or ART680A1."
ART 575,A  Studio Problems: Painting  ,Var[1-15] (0-0-0),Course Description: ,Prerequisite:  None. Restriction: .,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Acceptance into MFA program required.
ART 575,B  Studio Problems: Printmaking  ,Var[1-15] (0-0-0),Course Description: ,Prerequisite:  None. Restriction: .,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Acceptance into MFA program required.
ART 575,C  Studio Problems: Sculpture  ,Var[1-15] (0-0-0),Course Description: ,Prerequisite:  None. Restriction: .,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Acceptance into MFA program required.
ART 575,D  Studio Problems: Fibers  ,Var[1-15] (0-0-0),Course Description: ,Prerequisite:  None. Restriction: .,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Acceptance into MFA program required.
ART 575,E  Studio Problems: Metalsmithing and Jewelry  ,Var[1-15] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Acceptance into MFA program required.
ART 575,F  Studio Problems: Drawing  ,Var[1-15] (0-0-0),Course Description: ,Prerequisite:  None. Restriction: .,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Acceptance into MFA program required.
ART 575,G  Studio Problems: Graphic Design  ,Var[1-15] (0-0-0),Course Description: ,Prerequisite:  None. Restriction: .,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Acceptance into MFA program required.
ART 592,Art History Seminar  ,3 (0-0-3),Course Description: ,Prerequisite:  None.,,,Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Required for course admittance: Twenty-one credits of art history.Term Offered: Spring.
ART 675,A  Studio Problems: Painting  ,Var[1-15] (0-0-0),Course Description: ,"Prerequisite:  ART 575A - at least 10 credits. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 675,B  Studio Problems: Printmaking  ,Var[1-15] (0-0-0),Course Description: ,"Prerequisite:  ART 575B - at least 10 credits. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 675,C  Studio Problems: Sculpture  ,Var[1-15] (0-0-0),Course Description: ,"Prerequisite:  ART 575C - at least 10 credits. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 675,D  Studio Problems: Fibers  ,Var[1-15] (0-0-0),Course Description: ,"Prerequisite:  ART 575D - at least 10 credits. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 675,E  Studio Problems: Metalsmithing and Jewelry  ,Var[1-15] (0-0-0),Course Description: ,"Prerequisite:  ART 575E - at least 10 credits. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 675,F  Studio Problems: Drawing  ,Var[1-15] (0-0-0),Course Description: ,"Prerequisite:  ART 575F - at least 10 credits. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 675,G  Studio Problems: Graphic Design  ,Var[1-15] (0-0-0),Course Description: ,"Prerequisite:  ART 575G - at least 10 credits. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 684,Supervised College Teaching  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 695,A  Independent Study: Painting  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 695,B  Independent Study: Printmaking  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",
ART 695,C  Independent Study: Sculpture  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",
ART 695,D  Independent Study: Fibers  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",
ART 695,E  Independent Study: Metalsmithing and Jewelry  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",
ART 695,F  Independent Study: Drawing  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 695,G  Independent Study: Graphic Design  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 695,H  Independent Study: Art History  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 696,A  Group Study: Painting  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 696,B  Group Study: Printmaking  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 696,C  Group Study: Sculpture  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 696,D  Group Study: Fibers  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 696,E  Group Study: Metalsmithing and Jewelry  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 696,F  Group Study: Drawing  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 696,G  Group Study: Graphic Design  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 696,H  Group Study: Art History  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 696,I  Group Study: Multiple Media  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ART 699,A  Thesis: Painting  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Must have taken twelve credits in ART 575A and/or ART 675A.
ART 699,B  Thesis: Printmaking  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Must have taken twelve credits in ART 575B and/or ART 675B.
ART 699,C  Thesis: Sculpture  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Must have taken twelve credits in ART 575C and/or ART 675C.
ART 699,D  Thesis: Fibers  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Must have taken twelve credits in ART 575D and/or ART 675D.
ART 699,E  Thesis: Metalsmithing and Jewelry  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  Yes.
",,Registration Information: Must have taken twelve credits in ART 575E and/or ART 675E.
ART 699,F  Thesis: Drawing  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Must have taken twelve credits in ART 575F and/or ART 675F.
ART 699,G  Thesis: Graphic Design  ,Var[1-18] (0-0-0),Course Description: ,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.",,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",,Registration Information: Must have taken twelve credits in ART 575G and/or ART 675G.
